account_id,in_degree,out_degree,unique_senders,unique_receivers,total_in,total_out,pass_through_ratio,velocity_hours,in_span_hours,avg_in_amount,avg_out_amount,is_passthrough,label
ACC_0038dba3,4,3,1,2,3984.37,1120.27,0.28116615675753004,507.7262925325,606.2207571541667,996.0925,373.42333333333335,0,0
ACC_0073fe27,8,14,4,3,65499.66,9466.129999999997,0.14452181889188428,668.7858671563888,668.9729517277777,8187.4575,676.1521428571426,0,0
ACC_007e15c1,17,4,5,3,101678.84,85836.45999999999,0.8441919675716205,528.6297868572223,645.8100047097222,5981.108235294118,21459.114999999998,0,0
ACC_0128c39e,0,4,0,3,0.0,78725.71,0.0,999999.0,999999.0,0.0,19681.4275,0,0
ACC_0149c1a5,20,13,6,3,23009.36,138284.30000000002,6.009915095422038,687.2050992300001,645.7399978036111,1150.468,10637.253846153848,0,0
ACC_01b017d2,0,15,0,5,0.0,107825.34,0.0,999999.0,999999.0,0.0,7188.356,0,0
ACC_01be27e9,20,15,8,5,75084.17,66309.51,0.8831356862571698,580.7454557325,609.4954544619445,3754.2084999999997,4420.634,0,0
ACC_01c511d4,8,4,3,2,8554.98,23189.879999999997,2.7106878099072116,293.3984818238889,362.35997843027775,1069.3725,5797.469999999999,0,0
ACC_01c83041,0,10,0,3,0.0,175561.53000000003,0.0,999999.0,999999.0,0.0,17556.153000000002,0,0
ACC_0242c679,7,12,3,5,61852.100000000006,141145.24,2.281979754931522,572.4357317922222,636.2402002402778,8836.014285714287,11762.103333333333,0,0
ACC_0269fc07,20,7,7,3,67391.6,22010.699999999997,0.32660895423168457,456.46954743805554,599.2251287825,3369.5800000000004,3144.3857142857137,0,0
ACC_02e1670c,15,9,6,2,76549.34000000001,42695.49,0.5577512490636757,592.9305715938889,716.3785322872222,5103.289333333334,4743.943333333333,0,0
ACC_033bedbd,9,7,2,4,27616.739999999998,16664.940000000002,0.6034361767536648,462.9713494202778,621.8176202497223,3068.5266666666666,2380.7057142857147,0,0
ACC_03432803,10,13,5,5,76745.11,213976.43,2.788144156676562,602.0282112391667,504.2491799116667,7674.511,16459.725384615384,0,0
ACC_0359897c,0,5,0,4,0.0,62784.53,0.0,999999.0,999999.0,0.0,12556.905999999999,0,0
ACC_036cade2,7,4,2,2,26840.54,2041.33,0.07605398401075388,637.7035956133333,652.7264514655556,3834.362857142857,510.3325,0,0
ACC_03896a3e,2,6,2,4,679.5,95036.62,139.86257542310523,536.2910118094444,126.80527286694445,339.75,15839.436666666666,0,0
