account_id,in_degree,out_degree,unique_senders,unique_receivers,total_in,total_out,pass_through_ratio,velocity_hours,in_span_hours,avg_in_amount,avg_out_amount,label,is_passthrough
ACC_005d6eb2,10,11,4,5,15129.160000000002,180301.87,11.917506986508172,644.7410072052778,626.8829386125001,1512.9160000000002,16391.07909090909,0,0
ACC_006b9e00,12,4,4,2,88624.1,2326.64,0.0262529041197597,585.0661418005556,606.7356219583334,7385.341666666667,581.66,0,0
ACC_00801ee0,15,3,3,2,434148.38000000006,19983.43,0.0460290327468226,546.3887643594444,704.0233662999999,28943.22533333334,6661.143333333333,0,0
ACC_0095ea04,11,11,5,5,57668.31,61360.27,1.0640206033435,553.2383914063889,655.1648876333334,5242.573636363636,5578.206363636364,0,0
ACC_009609ff,11,6,3,5,10852.97,94870.95,8.741473532129914,653.3378374630555,686.1282382497222,986.6336363636364,15811.825,0,0
ACC_00ad2e01,10,8,4,2,13025.009999999998,18708.53,1.436354367482252,361.1702527511111,516.0724260252778,1302.5009999999995,2338.5662500000003,0,0
ACC_00b73a73,10,13,4,5,345010.24999999994,68033.47,0.1971926051472384,574.2359608908333,697.7753858847223,34501.024999999994,5233.343846153846,0,0
ACC_00be8bc2,5,8,2,3,149503.9,59833.31,0.4002123690418778,631.2835739327778,583.5059089030556,29900.78,7479.16375,0,0
ACC_00ce0c8f,8,10,2,5,11593.3,193457.5,16.687008875816204,504.99577769027775,638.6383695408333,1449.1625,19345.75,0,0
ACC_00d04242,4,11,3,4,4611.85,65755.6,14.257965892212454,170.41942350944447,58.39379558583334,1152.9625,5977.781818181818,0,0
ACC_00db7e10,6,10,2,5,20615.759999999995,6229.6900000000005,0.3021809528244412,508.91117532416666,356.1297704711111,3435.959999999999,622.969,0,0
ACC_00dec714,8,12,5,5,13728.13,70206.90000000001,5.114090557126135,363.75167708861113,391.1559102383334,1716.01625,5850.575000000001,0,0
ACC_018a81f5,18,6,5,2,19253.78,54212.86,2.815699566526677,701.98011874,693.1265218980556,1069.6544444444444,9035.476666666667,0,0
ACC_01977d21,5,7,2,3,15738.18,6134.929999999999,0.3898119096363111,582.8481379461111,379.5286551427778,3147.636,876.4185714285713,0,0
ACC_01b9f539,11,10,5,3,257628.63,14903.15,0.0578474139306644,568.6016744961111,582.8414677544444,23420.784545454542,1490.315,0,0
ACC_01bb2bf8,6,14,2,4,62387.06,15411.970000000005,0.2470379274163585,661.0717487308334,640.4346800233333,10397.843333333332,1100.8550000000002,0,0
ACC_01f7c964,0,10,0,2,0.0,211659.39,0.0,999999.0,999999.0,0.0,21165.939,0,0
ACC_02180f3f,13,5,5,3,426348.54,14347.85,0.0336528653293852,482.2876881630556,693.12716482,32796.04153846154,2869.57,0,0
ACC_022de4f5,5,7,2,4,15021.27,152012.14,10.119792800475594,423.14646044638886,349.9857618380555,3004.254,21716.02,0,0
ACC_025db4b0,3,7,2,2,2207.8,7669.670000000001,3.47389709212791,177.64885217388888,26.41686861361111,735.9333333333334,1095.667142857143,0,0
ACC_026d9931,18,4,5,4,72296.43,3492.34,0.0483058430409357,217.3413594411111,608.5637078075,4016.468333333333,873.0849999999999,0,0
ACC_02896504,5,14,2,2,4978.93,212662.52,42.71249445161912,552.4426336936111,463.07079112027776,995.786,15190.180000000002,0,0
ACC_02adda79,11,6,5,5,5395.490000000001,48677.01,9.021795981458588,603.3448762077777,650.4493873730555,490.49909090909097,8112.835,0,0
ACC_02b3b308,15,12,6,4,71214.16000000002,12048.699999999995,0.1691896667741358,568.9305805277778,538.2648557388889,4747.610666666668,1004.058333333333,0,0
ACC_02dda0b0,8,11,3,5,51477.84,7970.889999999999,0.1548411899178365,440.9612867311111,404.8809265211111,6434.73,724.6263636363636,0,0
ACC_0303c7e5,0,11,0,3,0.0,176867.01,0.0,999999.0,999999.0,0.0,16078.819090909092,0,0
ACC_03242eea,19,15,4,5,26041.759999999995,75240.77999999998,2.8892355969796206,665.7036357180556,639.5140835144445,1370.6189473684208,5016.051999999999,0,0
ACC_032a99ec,23,14,6,2,79692.48,54983.64000000001,0.689947658800429,666.478616163889,669.2630223180555,3464.8904347826087,3927.4028571428576,0,0
ACC_033f4233,4,9,3,2,101181.78,260013.04,2.5697614728659643,683.0033918638889,677.8564656488888,25295.445,28890.33777777777,0,0
ACC_03688ab8,18,5,3,3,590266.96,4756.77,0.008058675688031,460.29978426194447,680.6639179986112,32792.608888888884,951.354,0,0
ACC_0390e7fe,8,4,2,3,16424.04,1870.17,0.1138678425040367,539.1124702719444,458.3130312694444,2053.005,467.5425,0,0
ACC_03bdd21a,20,11,7,4,83875.78,23473.13,0.2798558773462375,529.7440381772223,607.1788111344445,4193.789,2133.9209090909094,0,0
