account_id,in_degree,out_degree,unique_senders,unique_receivers,total_in,total_out,pass_through_ratio,velocity_hours,in_span_hours,avg_in_amount,avg_out_amount,label,is_passthrough,risk_score,reason
ACC_002e2660,12,11,4,5,50138.09,72594.2,1.4478852305702112,701.9254527155556,693.417736491389,4178.174166666667,6599.472727272727,0,0,0.0,received money from 4 different senders; passed on 145% of everything it received
ACC_004ab8c8,13,9,5,4,11376.94,12682.570000000002,1.1147610869003444,648.9102321491667,657.1913526505555,875.1492307692307,1409.1744444444446,0,0,0.0,received money from 5 different senders; passed on 111% of everything it received
ACC_005d9f47,18,8,4,3,139754.59999999998,12066.88,0.0863433475534973,666.1955974147222,692.9376473338889,7764.144444444443,1508.36,0,0,0.0,received money from 4 different senders
ACC_00b2bca9,17,9,5,4,40479.50000000001,12220.23,0.3018868810138465,664.646970841111,603.5831515263889,2381.1470588235297,1357.8033333333333,0,0,0.0,received money from 5 different senders
ACC_00c8209a,9,9,5,2,227753.92,13243.6,0.0581487247288652,705.9837937447222,633.3526104722223,25305.99111111111,1471.511111111111,0,0,0.0,received money from 5 different senders
ACC_00f10257,3,12,2,4,4514.1,116430.69,25.792669635143216,586.6644021763889,384.7618508397222,1504.7,9702.5575,0,0,0.0,passed on 2579% of everything it received
ACC_00fba4f2,11,15,4,6,9905.7,54062.26,5.457692035898523,619.5267255519444,546.1173147722222,900.5181818181819,3604.150666666667,0,0,0.0,received money from 4 different senders; passed on 546% of everything it received
ACC_010184b3,3,12,1,3,946.2,197296.9,208.51500739801315,574.0977956950001,489.2881835780555,315.4,16441.408333333333,0,0,0.0,passed on 20852% of everything it received
ACC_01801b90,6,9,2,3,2027.01,71518.09,35.28255410678783,527.3460845161111,373.0091963716667,337.835,7946.454444444444,0,0,0.0,received money from 2 different senders; passed on 3528% of everything it received
ACC_01a1a895,14,3,5,3,81368.63999999998,1030.25,0.0126615118551815,692.8046017925,634.3275076130556,5812.045714285713,343.4166666666667,0,0,0.0,received money from 5 different senders
ACC_01a80974,10,13,4,2,18899.74,126214.15,6.67808922239142,578.147612576389,540.8699658655555,1889.974,9708.78076923077,0,0,0.0,received money from 4 different senders; passed on 668% of everything it received
ACC_01ee0bb4,10,3,3,3,81205.41,432.34,0.0053240295197081,609.9701591616667,527.8604774897223,8120.541,144.11333333333334,0,0,0.4,received money from 3 different senders
ACC_0211b100,1,11,1,3,1354.4,61002.63999999999,45.04034258712344,536.3996390277778,999999.0,1354.4,5545.694545454545,0,0,0.0,passed on 4504% of everything it received
ACC_0220f98a,25,15,6,3,150306.98,20779.36,0.1382461413302296,656.4540589955556,666.936854333889,6012.279200000001,1385.2906666666668,0,0,0.0,received money from 6 different senders
ACC_022c4b4f,5,3,2,3,3842.34,48719.26,12.679580672194549,0.0,386.9274915175,768.4680000000001,16239.753333333334,0,0,0.0,received money from 2 different senders; forwarded funds onward within 0.0 hours of receiving them; passed on 1268% of everything it received
ACC_028309ec,21,4,6,3,36224.560000000005,2999.42,0.0828007296706985,519.0541514063889,662.7990731441666,1724.9790476190478,749.855,0,0,0.0,received money from 6 different senders
ACC_02a46eb2,8,9,5,2,3759.93,59378.57,15.79246688103236,575.4384895613889,486.8415926141667,469.99125,6597.618888888889,0,0,0.4,received money from 5 different senders; passed on 1579% of everything it received
ACC_030cbefb,6,8,4,5,205292.97,4808.290000000001,0.0234216008468288,656.6996905880555,653.15405624,34215.494999999995,601.0362500000001,0,0,0.0,received money from 4 different senders
ACC_033f9551,17,15,5,4,477233.01,156887.27,0.328743541860191,655.2982588997222,597.9491610516667,28072.53,10459.151333333331,0,0,0.0,received money from 5 different senders
ACC_03660ce3,8,12,3,3,59450.4,338998.42999999993,5.702206040665831,631.7459888180556,538.0328907455556,7431.3,28249.86916666666,0,0,0.0,received money from 3 different senders; passed on 570% of everything it received
ACC_038ab956,17,13,5,5,591932.95,75522.05000000002,0.1275854807541969,680.685816885,639.0330201063889,34819.58529411764,5809.388461538463,0,0,0.0,received money from 5 different senders
ACC_03a789ef,21,3,4,2,81074.95000000001,8193.220000000001,0.101057354953657,533.2660317722223,620.9363414475,3860.711904761905,2731.0733333333337,0,0,0.0,received money from 4 different senders
ACC_03b30b34,5,5,2,2,8314.43,97880.19,11.772327146900029,509.4355077983333,590.5214147991667,1662.886,19576.038,0,0,0.0,received money from 2 different senders; passed on 1177% of everything it received
ACC_03c1ebf1,21,7,7,5,128351.9,8951.59,0.0697425593232355,526.5055778975001,664.9917247072221,6111.995238095238,1278.7985714285714,0,0,0.1,received money from 7 different senders
ACC_03f927ff,4,15,3,6,3126.8,58264.30999999998,18.63384610464372,610.6922124602778,625.1243648797222,781.7,3884.287333333332,0,0,0.0,passed on 1863% of everything it received
ACC_044c4de6,18,3,7,2,51689.45,109636.12,2.121054102916552,675.3915890158333,584.4646129722222,2871.6361111111114,36545.37333333333,0,0,0.5,received money from 7 different senders; passed on 212% of everything it received
ACC_044d45b7,0,10,0,4,0.0,99575.54,0.0,999999.0,999999.0,0.0,9957.554,0,0,0.3,flagged by the model based on a combination of subtler behavioral signals
ACC_0475756a,8,11,4,2,116197.89,23263.36,0.200204668088207,564.9745652688889,463.3951124369444,14524.736250000002,2114.8509090909088,0,0,0.0,received money from 4 different senders
ACC_04eb0617,4,3,3,2,131943.49,2131.84,0.0161572200341221,347.84832579666664,421.9901682672222,32985.8725,710.6133333333333,0,0,0.0,flagged by the model based on a combination of subtler behavioral signals
ACC_0542e29b,7,13,3,5,5378.07,93848.63,17.450243302894908,643.9099667769444,622.4920265819444,768.2957142857142,7219.125384615385,0,0,0.0,received money from 3 different senders; passed on 1745% of everything it received
ACC_054abb00,4,9,2,3,4100.83,7906.52,1.9280292038441,506.96882693138895,656.1803263108333,1025.2075,878.5022222222223,0,0,0.0,passed on 193% of everything it received
ACC_05793608,13,10,4,6,27436.200000000004,130388.37000000002,4.752420889190194,696.2285083655555,627.4267844394444,2110.4769230769234,13038.837000000003,0,0,0.0,received money from 4 different senders; passed on 475% of everything it received
ACC_064ca9e2,11,12,4,2,65852.65999999999,171546.74,2.605008514462438,616.3550162227777,643.06491208,5986.6054545454535,14295.561666666666,0,0,0.0,received money from 4 different senders; passed on 261% of everything it received
ACC_06c36ecb,10,7,4,3,44369.28,128754.34999999998,2.9018805353614026,656.8783676463889,547.0853693025,4436.928,18393.478571428568,0,0,0.0,received money from 4 different senders; passed on 290% of everything it received
ACC_06ca4c75,3,8,1,2,4381.530000000001,234440.65,53.5065719052477,631.8921063669445,662.5651921080556,1460.5100000000002,29305.08125,0,0,0.0,passed on 5351% of everything it received
ACC_0702a92c,14,13,4,3,58266.67,16700.620000000003,0.2866238966462302,667.3725947377777,663.1372620627778,4161.905,1284.6630769230771,0,0,0.0,received money from 4 different senders
ACC_070b11d8,27,7,8,3,71023.38000000002,115068.14,1.62014452142379,644.2418325197222,675.4786670722223,2630.495555555556,16438.305714285714,0,0,0.0,received money from 8 different senders; passed on 162% of everything it received
ACC_075aa1e5,15,6,4,4,29420.65,125877.85,4.278554348731248,594.4864717147223,685.7426924761111,1961.3766666666663,20979.641666666663,0,0,0.2,received money from 4 different senders; passed on 428% of everything it received
ACC_07601ecd,6,4,3,2,8680.11,8355.14,0.9625615343584354,666.4271498763889,660.1420435919445,1446.6850000000002,2088.785,0,0,0.0,received money from 3 different senders; passed on 96% of everything it received
ACC_07623dde,18,13,6,3,650143.8500000001,179666.49,0.2763488264943212,639.8748895827778,628.3709481866666,36119.102777777785,13820.49923076923,0,0,0.0,received money from 6 different senders
ACC_078c25dd,0,6,0,2,0.0,5868.89,0.0,999999.0,999999.0,0.0,978.1483333333334,0,0,0.2,flagged by the model based on a combination of subtler behavioral signals
ACC_07dd04f7,6,14,4,2,6789.52,235521.82,34.6890236717765,593.9934865530556,568.3547989511111,1131.5866666666666,16822.987142857142,0,0,0.0,received money from 4 different senders; passed on 3469% of everything it received
ACC_07e3d9a3,13,10,4,2,535059.77,148429.99,0.2774082416998011,612.6207972641666,672.9948885280556,41158.443846153845,14842.999,0,0,0.0,received money from 4 different senders
ACC_0900ac03,5,5,2,2,11308.34,2580.94,0.228233321601579,502.4260192358333,460.26238557444447,2261.668,516.188,0,0,0.0,received money from 2 different senders
ACC_094f196b,1,8,1,5,151.63,124935.62,823.9505374925806,0.0,999999.0,151.63,15616.9525,0,0,0.0,forwarded funds onward within 0.0 hours of receiving them; passed on 82395% of everything it received
ACC_09598b96,5,4,3,2,13184.54,1539.5,0.1167655451005495,381.5964652347222,606.2792218736112,2636.9080000000004,384.875,0,0,0.0,received money from 3 different senders
ACC_09b23bb5,4,4,2,4,45078.73,48234.51,1.0700059651192482,350.03964000944444,332.2752078225,11269.6825,12058.6275,0,0,0.0,passed on 107% of everything it received
ACC_09fad678,6,3,3,1,27880.65,1116.43,0.0400431840721073,0.4484926199999999,521.4871620116667,4646.775000000001,372.1433333333334,0,0,0.0,received money from 3 different senders; forwarded funds onward within 0.4 hours of receiving them
ACC_0a5c90cd,7,8,2,3,8935.8,87790.78000000001,9.82461335302939,378.4013769383333,431.5656464172222,1276.542857142857,10973.847500000002,0,0,0.0,received money from 2 different senders; passed on 982% of everything it received
ACC_0aba4f80,4,5,2,3,126306.85,59227.7,0.4689191441319295,135.63449073750002,431.3824240761112,31576.7125,11845.54,0,0,0.0,flagged by the model based on a combination of subtler behavioral signals
ACC_0accc7f3,14,3,6,2,15138.270000000002,1195.99,0.0790044040699498,388.0367333747222,662.8889893613889,1081.305,398.66333333333336,0,0,0.0,received money from 6 different senders
ACC_0ae8c78a,16,13,4,4,418985.58,207496.04,0.4952343228614216,713.5734957030555,702.96778583,26186.59875,15961.233846153844,0,0,0.0,received money from 4 different senders
ACC_0afb01be,15,8,4,4,29952.46,31247.620000000003,1.0432405218135674,594.8126673191667,674.4257970305556,1996.8306666666665,3905.9525,0,0,0.0,received money from 4 different senders; passed on 104% of everything it received
ACC_0b6d784f,15,15,5,4,16887.469999999998,41578.59,2.462097045916292,674.552868085,679.3897926369444,1125.831333333333,2771.906,0,0,0.3,received money from 5 different senders; passed on 246% of everything it received
ACC_0bd1d587,13,11,3,2,48273.14,37009.15,0.7666613358898964,603.1275438666667,641.2089524227778,3713.3184615384616,3364.468181818181,0,0,0.0,received money from 3 different senders; passed on 77% of everything it received
ACC_0bd39896,2,4,2,1,4678.93,9602.39,2.052261948778887,272.43461922583333,148.87675638333334,2339.465,2400.5975,0,0,0.0,passed on 205% of everything it received
ACC_0c731c82,8,11,4,3,11669.83,113019.76000000002,9.684782040526729,516.1250491055556,531.08292715,1458.72875,10274.523636363638,0,0,0.0,received money from 4 different senders; passed on 968% of everything it received
ACC_0c9e7eb2,19,9,5,2,536626.86,110051.49,0.2050800997922467,689.9781646086111,699.1681508988888,28243.51894736842,12227.943333333336,0,0,0.0,received money from 5 different senders
ACC_0cc51b45,4,10,2,4,18558.89,134376.41,7.240541325477979,571.9177456294444,343.88245499305555,4639.7225,13437.641,0,0,0.0,passed on 724% of everything it received
ACC_0ccc884e,7,3,3,2,34821.55,22430.25,0.6441485229692532,659.9457055922222,395.7599696102778,4974.507142857144,7476.75,0,0,0.0,received money from 3 different senders
ACC_0ccfb046,8,10,3,6,7898.98,9382.71,1.1878381765746973,539.4516278875,651.9973603669443,987.3725,938.271,0,0,0.0,received money from 3 different senders; passed on 119% of everything it received
ACC_0cd3440e,13,8,4,6,40151.30999999999,99343.47,2.474227366429639,662.4310230358333,632.6113598883333,3088.562307692307,12417.93375,0,0,0.0,received money from 4 different senders; passed on 247% of everything it received
ACC_0d74a838,8,5,3,3,59150.34,2059.89,0.034824651895492,186.0361667188889,470.7100714808333,7393.7925,411.978,0,0,0.0,received money from 3 different senders
ACC_0d9efc95,4,11,3,6,5333.29,70340.53,13.18895653527185,686.3457680727778,497.2408779997222,1333.3225,6394.5936363636365,0,0,0.0,passed on 1319% of everything it received
ACC_0dc8aac2,7,13,3,4,65530.18,13180.7,0.2011393834108192,465.50294833916666,505.63703422944445,9361.454285714286,1013.9,0,0,0.0,received money from 3 different senders
ACC_0e1f9c90,17,4,6,2,126062.34,3568.0400000000004,0.028303774148568,277.4198331780556,704.5671476169445,7415.431764705883,892.0100000000001,0,0,0.0,received money from 6 different senders
ACC_0e40786b,19,3,6,1,70095.75000000001,32429.38,0.4626440262070096,505.0396996375,633.8648550469444,3689.250000000001,10809.793333333331,0,0,0.2,received money from 6 different senders
ACC_0e688119,13,9,6,3,68869.58999999998,7669.1,0.1113568412415407,561.8008085816666,606.3542911452778,5297.660769230768,852.1222222222223,0,0,0.0,received money from 6 different senders
ACC_0ec071ab,15,3,4,2,46766.420000000006,12785.93,0.2733998026789307,490.7721537041666,654.2563923833333,3117.761333333334,4261.9766666666665,0,0,0.0,received money from 4 different senders
ACC_0ec52742,26,13,7,2,108949.12,180121.17000000004,1.653259521508756,704.3568373477777,705.8263642255556,4190.350769230769,13855.47461538462,0,0,0.0,received money from 7 different senders; passed on 165% of everything it received
ACC_0f8729b6,4,12,3,4,1951.24,122565.19999999998,62.81400545294274,534.5586558447222,489.1553205161111,487.81,10213.766666666665,0,0,0.0,passed on 6281% of everything it received
ACC_0fbf6c39,7,10,3,2,27901.18,32730.74,1.1730951880888192,679.9595035472222,530.4556436233333,3985.882857142857,3273.074,0,0,0.0,received money from 3 different senders; passed on 117% of everything it received
ACC_0fcf920c,8,13,3,4,65304.97,47604.12999999999,0.7289511043340191,660.7389418661111,660.797225941389,8163.12125,3661.856153846153,0,0,0.0,received money from 3 different senders; passed on 73% of everything it received
ACC_100e7de5,9,12,3,6,11774.170000000002,7838.35,0.6657242081607451,523.8471553327778,677.0213467661112,1308.2411111111114,653.1958333333333,0,0,0.0,received money from 3 different senders
ACC_101aed11,9,3,3,3,10504.420000000002,5720.610000000001,0.5445907532257849,655.5978522872223,507.3628622922223,1167.157777777778,1906.87,0,0,0.0,received money from 3 different senders
ACC_103c31f9,37,9,8,4,108261.94,18518.17,0.1710496782156314,674.82948749,654.4361471394444,2925.998378378378,2057.5744444444445,0,0,0.0,received money from 8 different senders
ACC_10446f68,21,3,6,3,108331.37,1947.98,0.0179816797295187,544.0468911255555,614.3174349366667,5158.636666666666,649.3266666666667,0,0,0.0,received money from 6 different senders
ACC_1064c4a5,1,6,1,3,281.68,110273.76,391.4859414938938,420.9968267669445,999999.0,281.68,18378.960000000003,0,0,0.0,passed on 39149% of everything it received
