txn_id,sender,receiver,amount,timestamp,sender_label,receiver_label
d69b9015b7424bbfa0007f098ee2f13b,ACC_bcd9b4bf,ACC_89bc392c,844.12,2026-01-23T01:21:09.787368,0,0
7433e2bd653e4b28921e8042559f2f46,ACC_bcd9b4bf,ACC_38931bf1,519.25,2026-01-30T04:02:56.290011,0,0
7e13e094f84b46308dba1f838e0e2098,ACC_bcd9b4bf,ACC_c53d24c6,1366.08,2026-01-13T11:45:13.449828,0,0
9c17a97edbc54127883fa289ceef97ab,ACC_bcd9b4bf,ACC_38931bf1,205.68,2026-01-08T05:29:49.545917,0,0
f385063da1b54ca98a62720974feb93b,ACC_bcd9b4bf,ACC_38931bf1,4160.83,2026-01-28T10:36:49.122531,0,0
e9469a72ccac4b76b54ba19c9499cdd8,ACC_bcd9b4bf,ACC_c53d24c6,490.42,2026-01-12T15:39:42.174509,0,0
0ac929bbb49c4f1e9974c69f0f17d861,ACC_bcd9b4bf,ACC_89bc392c,1070.56,2026-01-09T01:17:32.435720,0,0
9c406e3d164142a99a53a3feac6816a4,ACC_bcd9b4bf,ACC_c53d24c6,2361.98,2026-01-21T03:26:39.753634,0,0
a3eb99af0b5b46a38e8e36934edb1cf7,ACC_bcd9b4bf,ACC_38931bf1,1720.27,2026-01-29T17:03:15.219285,0,0
1ed4a14d48b0496db88d1ee1ebbe8b4d,ACC_661808f0,ACC_e27dda5c,2065.04,2026-01-12T21:34:30.298940,0,0
fcc9b8682f7946c48932db045ddabed7,ACC_661808f0,ACC_e27dda5c,1426.75,2026-01-17T00:13:41.130263,0,0
2871762a45eb4b56a43364fbda17bda0,ACC_661808f0,ACC_361ca304,85.23,2026-01-14T23:31:22.541415,0,0
a01e171cf9b741a1a37a0664335881aa,ACC_661808f0,ACC_361ca304,451.69,2026-01-10T09:18:13.872912,0,0
3981ad272a73493fb4c7c9894bf8d7ea,ACC_661808f0,ACC_e27dda5c,379.99,2026-01-08T19:45:26.492886,0,0
8edc69ebe2d4439fbfec4ac854ca2383,ACC_661808f0,ACC_361ca304,338.02,2026-01-18T02:14:54.416929,0,0
85f94e8b591440f09cec5e4412ade82d,ACC_3cf994b6,ACC_baf1bda9,1071.9,2026-01-06T01:07:41.610306,0,0
404da093c75c4c97b628f2ba43bc73a8,ACC_3cf994b6,ACC_baf1bda9,1392.21,2026-01-28T12:10:03.218088,0,0
46e6e69e8ebc40d2ac52012a48beb700,ACC_3cf994b6,ACC_5088e5e1,3455.46,2026-01-26T04:07:45.535398,0,0
7c1ea28fc9fa422987f940b31352a2e7,ACC_3cf994b6,ACC_30811110,2263.23,2026-01-13T08:55:20.640501,0,0
2810744ac9724e59a41bd4b285ce6872,ACC_3cf994b6,ACC_5088e5e1,675.66,2026-01-19T12:50:28.931393,0,0
608e06be238a498b9dd255e90d0f7a0d,ACC_3cf994b6,ACC_5088e5e1,569.81,2026-01-22T15:58:43.534454,0,0
f110508ecf5a4ba2844f6c81ae7ba5e5,ACC_3cf994b6,ACC_5088e5e1,3103.52,2026-01-28T07:02:12.564669,0,0
a54a846ac11d4008b7e0d712fc76f670,ACC_3cf994b6,ACC_30811110,702.83,2026-01-19T14:14:31.943532,0,0
242eafa51269484da093ebb3ec14d5ee,ACC_3cf994b6,ACC_baf1bda9,343.15,2026-01-12T04:35:49.704338,0,0
fd6b755a202c4a9d92b9f984fb253069,ACC_3cf994b6,ACC_baf1bda9,155.24,2026-01-09T23:58:54.267761,0,0
17f4f399551c429384e4111bb1b54a53,ACC_3cf994b6,ACC_30811110,216.28,2026-01-17T13:56:42.131261,0,0
5fc9fee2a27f456abdc2e71b2a33d18e,ACC_3cf994b6,ACC_30811110,972.0,2026-01-26T08:38:14.827449,0,0
2286065e107f4f7f92c0e3186b5f3505,ACC_3cf994b6,ACC_5088e5e1,1473.51,2026-01-03T20:39:37.877540,0,0
9c9e7a89a70644efbd0c247b49418a59,ACC_de53d3a3,ACC_6111bb21,744.46,2026-01-28T20:42:42.408372,0,0
aec1be86f2724d958bdb211f1bc20969,ACC_de53d3a3,ACC_b621b6f1,14808.01,2026-01-05T07:49:04.526847,0,0
0e2d58cdd20b484696877bd3583004d4,ACC_de53d3a3,ACC_c57fb331,1900.71,2026-01-17T22:02:59.653425,0,0
21106587d282475081322c8ffd16c3e3,ACC_de53d3a3,ACC_6111bb21,105.88,2026-01-10T22:50:43.744300,0,0
412ce1a460194a738c6b7cdb7ab62310,ACC_de53d3a3,ACC_c57fb331,701.33,2026-01-02T14:39:41.151608,0,0
